fecha_envio,telefono,pais,categoria,tipo,conversaciones,costo
11-may-25,52 1 81 2337 9554,Mexico,Marketing,Pagadas,2,"$0,09"
10-may-25,53 1 81 2337 9554,Mexico,Marketing,Pagadas,924,"$40,29"
09-may-25,54 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
09-may-25,55 1 81 2337 9554,Mexico,Marketing,Pagadas,931,"$40,59"
14-feb-25,56 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
04-jun-25,57 1 81 2337 9554,Mexico,Marketing,Pagadas,406,"$17,70"
03-jun-25,58 1 81 2337 9554,Mexico,Marketing,Pagadas,409,"$17,83"
02-jun-25,59 1 81 2337 9554,Mexico,Marketing,Pagadas,401,"$17,48"
27-feb-25,60 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
13-may-25,61 1 81 2337 9554,Mexico,Marketing,Pagadas,2,"$0,09"
12-may-25,62 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
12-may-25,63 1 81 2337 9554,Mexico,Marketing,Pagadas,4,"$0,17"
10-jun-25,64 1 81 2337 9554,Mexico,Marketing,Pagadas,473,"$20,62"
09-jun-25,65 1 81 2337 9554,Mexico,Marketing,Pagadas,471,"$20,54"
08-jun-25,66 1 81 2337 9554,Mexico,Marketing,Pagadas,957,"$41,73"
05-may-25,67 1 81 2337 9554,Mexico,Utilidad,Pagadas,940,"$9,40"
26-may-25,68 1 81 2337 9554,Mexico,Marketing,Pagadas,331,"$14,43"
25-may-25,69 1 81 2337 9554,Mexico,Marketing,Pagadas,598,"$26,07"
24-may-25,70 1 81 2337 9554,Mexico,Marketing,Pagadas,495,"$21,58"
26-mar-25,71 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
25-mar-25,72 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
18-may-25,73 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
20-mar-25,74 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
08-may-25,75 1 81 2337 9554,Mexico,Utilidad,Pagadas,2,"$0,02"
06-may-25,76 1 81 2337 9554,Mexico,Utilidad,Pagadas,6,"$0,06"
01-jun-25,77 1 81 2337 9554,Mexico,Marketing,Pagadas,5,"$0,22"
31-may-25,78 1 81 2337 9554,Mexico,Marketing,Pagadas,3,"$0,13"
30-may-25,79 1 81 2337 9554,Mexico,Marketing,Pagadas,3,"$0,13"
31-ene-25,80 1 81 2337 9554,Mexico,Marketing,Pagadas,3,"$0,13"
23-may-25,81 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
23-may-25,82 1 81 2337 9554,Mexico,Marketing,Pagadas,611,"$26,64"
22-may-25,83 1 81 2337 9554,Mexico,Marketing,Pagadas,499,"$21,76"
21-may-25,84 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
24-mar-25,85 1 81 2337 9554,Mexico,Marketing,Pagadas,200,"$8,72"
07-jun-25,86 1 81 2337 9554,Mexico,Marketing,Pagadas,8,"$0,35"
06-jun-25,87 1 81 2337 9554,Mexico,Marketing,Pagadas,402,"$17,53"
05-jun-25,88 1 81 2337 9554,Mexico,Marketing,Pagadas,8,"$0,35"
07-abr-25,89 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
29-may-25,90 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
28-may-25,91 1 81 2337 9554,Mexico,Marketing,Pagadas,5,"$0,22"
27-may-25,92 1 81 2337 9554,Mexico,Marketing,Pagadas,7,"$0,31"
29-mar-25,93 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
28-mar-25,94 1 81 2337 9554,Mexico,Marketing,Pagadas,2,"$0,09"
11-jun-25,95 1 81 2337 9554,Mexico,Marketing,Pagadas,323,"$14,08"
11-feb-25,96 1 81 2337 9554,Mexico,Utilidad,Pagadas,54,"$0,54"
11-feb-25,97 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
17-may-25,98 1 81 2337 9554,Mexico,Utilidad,Pagadas,2,"$0,02"
16-may-25,99 1 81 2337 9554,Mexico,Utilidad,Pagadas,2,"$0,02"
15-may-25,100 1 81 2337 9554,Mexico,Utilidad,Pagadas,1,"$0,01"
15-may-25,101 1 81 2337 9554,Mexico,Marketing,Pagadas,1,"$0,04"
,,,,,9505,
